verkooporder_id,order_nummer,klant_id,medewerker_id,vestiging_id,order_datum,status
75,VO-00075,8,2,2,2026-03-16,Bevestigd
76,VO-00076,9,3,3,2026-05-09,Gefactureerd
77,VO-00077,9,3,3,2026-07-25,Gefactureerd
78,VO-00078,6,3,3,2026-07-06,Gefactureerd
79,VO-00079,8,2,2,2026-04-29,Gefactureerd
80,VO-00080,6,3,3,2026-08-01,Bevestigd
81,VO-00081,8,2,2,2026-08-18,Open
82,VO-00082,2,2,1,2026-06-15,Bevestigd
83,VO-00083,9,3,3,2026-06-03,Open
84,VO-00084,3,3,2,2026-06-28,Gefactureerd
85,VO-00085,3,3,2,2026-08-22,Gefactureerd
86,VO-00086,5,2,3,2026-02-03,Gefactureerd
87,VO-00087,7,1,1,2026-04-24,Gefactureerd
88,VO-00088,3,3,2,2026-08-12,Bevestigd
89,VO-00089,6,3,3,2026-03-11,Bevestigd
90,VO-00090,1,1,1,2026-04-09,Gefactureerd
91,VO-00091,1,1,1,2026-01-02,Gefactureerd
92,VO-00092,9,3,3,2026-04-19,Bevestigd
93,VO-00093,2,2,1,2026-04-20,Open
94,VO-00094,4,1,2,2026-04-06,Bevestigd
95,VO-00095,8,2,2,2026-07-17,Gefactureerd
96,VO-00096,6,3,3,2026-01-12,Gefactureerd
97,VO-00097,2,2,1,2026-03-06,Open
98,VO-00098,10,1,1,2026-08-18,Gefactureerd
99,VO-00099,8,2,2,2026-03-20,Bevestigd
100,VO-00100,4,1,2,2026-07-20,Bevestigd
101,VO-00101,10,1,1,2026-04-24,Gefactureerd
102,VO-00102,2,2,1,2026-01-31,Bevestigd
103,VO-00103,9,3,3,2026-06-20,Bevestigd
104,VO-00104,7,1,1,2026-08-26,Gefactureerd
105,VO-00105,7,1,1,2026-07-25,Gefactureerd
106,VO-00106,4,1,2,2026-02-02,Gefactureerd
107,VO-00107,2,2,1,2026-06-13,Gefactureerd
108,VO-00108,1,1,1,2026-08-31,Gefactureerd
109,VO-00109,7,1,1,2026-03-28,Gefactureerd
110,VO-00110,2,2,1,2026-02-23,Gefactureerd
111,VO-00111,6,3,3,2026-03-23,Gefactureerd
112,VO-00112,3,3,2,2026-07-28,Bevestigd
113,VO-00113,5,2,3,2026-08-14,Gefactureerd
114,VO-00114,3,3,2,2026-06-24,Gefactureerd
115,VO-00115,5,2,3,2026-01-12,Open
116,VO-00116,9,3,3,2026-05-06,Gefactureerd
117,VO-00117,5,2,3,2026-05-28,Bevestigd
118,VO-00118,2,2,1,2026-02-07,Gefactureerd
119,VO-00119,5,2,3,2026-08-24,Gefactureerd
120,VO-00120,3,3,2,2026-05-15,Bevestigd
121,VO-00121,7,1,1,2026-03-05,Bevestigd
122,VO-00122,4,1,2,2026-07-29,Bevestigd
123,VO-00123,2,2,1,2026-03-11,Gefactureerd
124,VO-00124,5,2,3,2026-05-21,Gefactureerd
125,VO-00125,9,3,3,2026-06-16,Gefactureerd
126,VO-00126,9,3,3,2026-07-21,Gefactureerd
127,VO-00127,5,2,3,2026-02-11,Gefactureerd
128,VO-00128,5,2,3,2026-02-17,Gefactureerd
129,VO-00129,5,2,3,2026-07-17,Bevestigd
130,VO-00130,8,2,2,2026-05-03,Bevestigd
131,VO-00131,4,1,2,2026-01-29,Open
132,VO-00132,2,2,1,2026-04-25,Gefactureerd
133,VO-00133,2,2,1,2026-01-09,Bevestigd
134,VO-00134,5,2,3,2026-01-21,Gefactureerd
135,VO-00135,4,1,2,2026-03-18,Gefactureerd
136,VO-00136,6,3,3,2026-06-30,Gefactureerd
137,VO-00137,10,1,1,2026-05-28,Bevestigd
138,VO-00138,2,2,1,2026-03-30,Gefactureerd
139,VO-00139,8,2,2,2026-06-15,Open
140,VO-00140,1,1,1,2026-01-31,Gefactureerd
141,VO-00141,3,3,2,2026-04-05,Bevestigd
142,VO-00142,6,3,3,2026-05-29,Gefactureerd
143,VO-00143,1,1,1,2026-02-13,Bevestigd
144,VO-00144,7,1,1,2026-06-08,Gefactureerd
145,VO-00145,5,2,3,2026-05-15,Bevestigd
146,VO-00146,9,3,3,2026-04-08,Bevestigd
147,VO-00147,3,3,2,2026-08-25,Bevestigd
148,VO-00148,4,1,2,2026-07-12,Gefactureerd
149,VO-00149,1,1,1,2026-07-16,Gefactureerd
150,VO-00150,9,3,3,2026-02-09,Gefactureerd
151,VO-00151,1,1,1,2026-01-24,Gefactureerd
152,VO-00152,2,2,1,2026-01-17,Bevestigd
153,VO-00153,6,3,3,2026-04-08,Gefactureerd
154,VO-00154,10,1,1,2026-06-27,Gefactureerd
155,VO-00155,3,3,2,2026-01-07,Gefactureerd
156,VO-00156,6,3,3,2026-04-18,Gefactureerd
157,VO-00157,8,2,2,2026-03-26,Gefactureerd
158,VO-00158,4,1,2,2026-08-01,Gefactureerd
159,VO-00159,10,1,1,2026-03-18,Open
160,VO-00160,2,2,1,2026-03-04,Gefactureerd
