verkooporderregel_id,verkooporder_id,klantartikel_id,aantal,prijs_per_eenheid,regel_omzet,meters,vellen
53,24,8,69,2.22,153.18,42.36,65
54,24,9,114,2.02,230.28,119.96,80
55,25,16,107,2.56,273.92,184.02,115
56,26,19,201,3.52,707.52,305.48,409
57,26,21,66,1.81,119.46,71.27,81
58,26,20,183,3.75,686.25,258.74,356
59,26,19,169,2.78,469.82,282.18,261
60,27,24,231,2.51,579.81,108.66,279
61,27,22,126,2.01,253.26,184.68,152
62,27,23,222,2.36,523.92,348.29,300
63,27,23,148,0.99,146.52,256.44,142
64,28,25,17,4.31,73.27,11.54,11
65,29,8,65,2.52,163.8,49.32,77
66,30,17,89,1.2,106.8,38.8,98
67,31,17,60,1.08,64.8,82.01,96
68,31,17,188,3.66,688.08,299.0,293
69,31,16,213,4.44,945.72,318.58,246
70,31,17,179,2.17,388.43,198.39,205
71,32,14,172,4.1,705.2,179.51,145
72,32,14,197,2.73,537.81,258.2,312
73,32,14,208,2.59,538.72,210.04,368
74,32,14,92,3.95,363.4,143.8,68
75,33,3,17,2.63,44.71,14.54,23
76,33,2,214,1.76,376.64,169.39,333
77,33,2,152,0.84,127.68,262.55,112
78,33,1,114,2.61,297.54,166.6,194
79,34,3,85,1.62,137.7,116.32,93
80,35,23,200,2.84,568.0,178.51,265
81,35,22,74,1.65,122.1,104.33,82
82,35,22,147,4.32,635.04,200.84,133
83,36,24,223,1.52,338.96,160.22,198
84,36,23,191,2.78,530.98,149.75,412
85,36,23,84,3.38,283.92,48.45,167
86,37,30,132,2.43,320.76,86.87,90
87,37,28,39,3.84,149.76,37.48,28
88,37,30,185,1.0,185.0,112.64,278
89,38,12,205,2.34,479.7,253.09,326
90,39,21,230,2.98,685.4,230.08,347
91,39,20,166,4.35,722.1,89.46,302
92,39,20,64,1.78,113.92,32.87,63
93,39,21,29,1.38,40.02,28.19,49
94,40,25,82,3.4,278.8,84.92,139
95,40,27,211,3.73,787.03,258.62,398
96,40,25,118,1.22,143.96,84.34,99
97,41,7,212,1.94,411.28,307.09,320
98,42,25,113,4.29,484.77,124.37,157
99,42,27,163,0.95,154.85,163.79,182
100,42,25,16,1.14,18.24,27.95,31
101,43,18,20,3.62,72.4,12.91,29
102,43,16,244,1.83,446.52,438.16,317
103,43,18,33,2.54,83.82,32.07,37
104,44,26,136,1.87,254.32,234.36,259
105,44,26,19,2.48,47.12,15.97,21
106,44,26,231,2.7,623.7,411.96,382
107,44,25,128,2.33,298.24,84.81,151
108,45,14,78,2.83,220.74,132.5,101
109,46,16,50,1.95,97.5,20.96,63
110,46,16,225,4.18,940.5,235.36,177
111,47,18,190,1.81,343.9,298.04,412
112,47,16,126,2.84,357.84,118.06,261
113,47,16,201,4.05,814.05,323.54,209
114,48,11,82,3.49,286.18,128.94,125
115,48,10,135,4.0,540.0,138.4,186
116,48,10,151,3.62,546.62,140.14,316
117,49,26,229,3.67,840.43,105.59,410
118,49,26,243,3.8,923.4,228.54,404
119,49,27,48,2.63,126.24,21.69,67
120,49,25,94,4.02,377.88,152.64,123
121,50,7,232,3.22,747.04,142.94,313
122,50,9,96,3.11,298.56,91.82,70
123,51,21,170,3.46,588.2,248.74,339
124,51,20,168,1.05,176.4,215.65,348
125,51,19,201,1.13,227.13,355.7,365
126,51,19,233,1.17,272.61,147.47,251
127,52,15,101,2.19,221.19,60.98,146
128,53,17,30,3.06,91.8,28.07,51
129,53,16,243,2.96,719.28,176.19,394
130,54,29,183,2.82,516.06,92.12,387
131,54,28,86,3.16,271.76,85.49,86
132,54,28,60,4.5,270.0,95.68,46
133,54,30,156,2.13,332.28,127.02,268
134,55,1,154,4.0,616.0,229.4,332
135,55,1,200,2.64,528.0,333.16,212
136,55,3,165,3.77,622.05,116.59,149
137,56,9,34,4.14,140.76,44.37,37
138,56,7,18,2.94,52.92,25.66,13
139,57,30,43,3.71,159.53,69.96,51
140,57,28,243,1.81,439.83,153.18,501
141,58,5,129,4.36,562.44,77.02,277
142,58,5,195,3.3,643.5,186.49,381
143,58,6,103,1.13,116.39,98.1,105
144,59,5,107,3.84,410.88,183.66,83
145,59,5,130,0.89,115.7,212.93,195
146,59,6,66,3.2,211.2,85.11,89
147,60,20,21,4.3,90.3,17.35,29
148,61,7,126,2.17,273.42,217.87,216
149,61,9,117,2.97,347.49,165.82,236
150,62,1,18,3.35,60.3,12.68,24
151,62,2,228,2.14,487.92,404.31,271
152,62,3,101,1.02,103.02,79.41,217
153,62,2,33,3.25,107.25,42.85,51
154,63,20,211,2.89,609.79,104.67,385
155,63,19,160,1.6,256.0,258.81,180
156,64,6,229,4.44,1016.76,408.2,335
157,65,29,13,2.13,27.69,19.55,20
158,66,20,117,2.75,321.75,168.94,159
159,66,20,141,3.0,423.0,145.63,135
160,67,23,174,4.37,760.38,84.42,238
161,67,24,119,3.34,397.46,129.28,245
162,67,24,240,1.1,264.0,300.39,169
163,68,22,162,2.76,447.12,167.7,254
164,68,22,213,3.4,724.2,339.5,350
165,68,24,194,4.0,776.0,194.41,392
166,69,17,196,1.15,225.4,195.5,326
167,69,17,49,3.34,163.66,52.13,37
168,69,18,33,2.4,79.2,47.6,39
169,69,16,152,1.02,155.04,264.37,228
170,70,12,23,4.38,100.74,28.53,27
171,70,11,139,1.59,221.01,183.4,133
172,70,10,99,3.93,389.07,90.54,180
173,70,10,67,3.79,253.93,106.08,145
174,71,28,247,3.23,797.81,338.6,160
175,72,25,11,1.47,16.17,6.61,18
176,72,26,46,3.54,162.84,80.98,34
177,72,25,65,2.19,142.35,67.28,55
178,73,26,49,1.38,67.62,61.98,82
179,74,2,123,2.33,286.59,86.32,175
180,74,2,120,1.21,145.2,161.94,186
181,74,2,180,1.94,349.2,127.57,392
182,74,1,11,1.56,17.16,18.96,20
183,75,23,201,2.39,480.39,116.75,292
184,76,27,111,3.99,442.89,50.97,70
185,76,26,230,1.96,450.8,230.23,287
186,76,26,116,1.87,216.92,112.18,249
187,77,26,245,2.14,524.3,247.79,188
188,77,27,160,2.28,364.8,81.62,319
189,77,25,96,1.62,155.52,143.11,69
190,77,26,39,2.76,107.64,26.19,72
191,78,17,36,1.34,48.24,24.34,56
192,78,17,204,3.23,658.92,132.19,375
193,79,23,246,4.06,998.76,319.85,536
194,79,24,231,4.39,1014.09,194.64,301
195,79,22,123,3.14,386.22,186.33,190
196,79,22,139,1.07,148.73,145.46,92
197,80,18,162,2.68,434.16,169.74,241
198,81,23,164,2.56,419.84,100.24,115
199,81,22,217,4.13,896.21,191.14,378
200,82,5,122,4.47,545.34,138.31,192
201,82,5,105,4.2,441.0,98.95,193
202,83,27,94,1.15,108.1,126.87,99
203,83,27,228,3.23,736.44,380.5,455
204,83,25,30,2.96,88.8,17.94,35
205,84,9,191,4.27,815.57,159.18,230
206,84,9,218,1.27,276.86,301.7,461
207,85,8,102,0.87,88.74,84.91,216
208,85,7,206,2.6,535.6,147.74,169
209,85,7,85,3.92,333.2,46.04,156
210,85,9,236,2.75,649.0,313.1,473
211,86,13,56,3.88,217.28,82.85,106
212,86,14,194,2.42,469.48,189.19,326
213,87,19,146,1.68,245.28,255.77,271
214,87,21,104,3.31,344.24,124.65,136
215,87,21,209,2.21,461.89,237.93,449
216,87,19,215,3.04,653.6,348.77,147
217,88,9,226,2.71,612.46,129.85,166
218,89,17,33,4.3,141.9,23.46,44
219,89,18,248,0.9,223.2,117.69,348
220,90,2,17,1.98,33.66,9.16,30
221,90,3,212,1.34,284.08,96.17,438
222,90,3,188,3.88,729.44,274.93,254
223,91,1,65,3.89,252.85,75.94,115
224,92,25,87,1.25,108.75,63.84,141
225,92,27,127,1.03,130.81,199.56,178
226,92,27,14,3.14,43.96,16.87,24
227,93,4,156,2.34,365.04,207.5,115
228,93,4,27,4.33,116.91,31.37,50
229,93,6,151,0.88,132.88,245.02,101
230,94,11,211,1.05,221.55,155.63,348
231,95,22,21,2.1,44.1,18.35,34
232,95,23,128,4.43,567.04,136.95,114
233,95,24,26,3.45,89.7,44.75,17
234,96,16,248,1.95,483.6,237.46,472
235,97,6,101,3.99,402.99,47.16,167
236,97,5,41,3.76,154.16,41.48,51
237,98,29,137,3.36,460.32,125.26,257
238,98,29,215,1.11,238.65,213.77,277
239,98,30,149,1.89,281.61,81.0,168
240,99,23,186,2.44,453.84,190.83,328
241,99,22,167,4.49,749.83,130.99,362
242,99,22,29,3.28,95.12,28.09,41
243,99,24,183,1.39,254.37,81.18,358
244,100,12,70,3.68,257.6,63.9,85
245,100,10,18,3.04,54.72,24.31,38
246,101,29,103,2.27,233.81,134.87,103
247,101,30,16,3.52,56.32,17.58,20
248,102,5,124,1.59,197.16,155.82,212
249,102,6,61,1.25,76.25,97.23,81
250,102,5,123,4.49,552.27,188.77,264
251,103,26,148,1.87,276.76,121.35,126
252,104,21,140,1.63,228.2,249.09,261
253,104,21,212,2.63,557.56,191.91,321
254,105,19,236,1.12,264.32,196.59,519
255,105,19,132,2.75,363.0,194.94,253
256,106,11,129,3.32,428.28,113.82,259
257,107,4,138,4.17,575.46,65.91,110
258,107,4,87,1.41,122.67,74.1,151
259,108,3,74,1.53,113.22,128.68,77
260,108,3,87,3.07,267.09,46.18,141
261,108,1,158,1.37,216.46,208.91,277
262,109,21,30,0.97,29.1,38.94,46
263,110,5,173,0.91,157.43,284.52,255
264,110,5,87,2.59,225.33,132.81,148
265,110,6,126,1.07,134.82,60.97,164
266,110,5,128,1.55,198.4,159.91,141
267,111,18,43,3.61,155.23,48.2,33
268,111,16,129,1.25,161.25,132.8,106
269,111,18,84,4.3,361.2,135.23,107
270,112,9,205,1.39,284.95,367.84,276
271,112,7,137,0.89,121.93,236.1,193
272,112,7,65,2.96,192.4,30.43,68
273,113,13,147,0.83,122.01,80.92,120
274,113,14,196,2.15,421.4,189.05,132
275,113,13,155,2.88,446.4,140.67,165
276,113,13,139,2.47,343.33,162.6,267
277,114,8,110,2.18,239.8,195.97,164
278,114,8,203,1.33,269.99,252.42,252
279,115,14,142,2.49,353.58,177.32,202
280,115,15,248,3.07,761.36,155.62,542
281,115,14,225,1.91,429.75,195.96,433
282,116,27,218,0.86,187.48,188.29,169
283,116,26,159,1.94,308.46,263.67,317
284,116,27,16,3.01,48.16,12.35,26
285,117,13,132,1.43,188.76,169.04,210
286,118,5,156,4.31,672.36,86.4,98
287,118,5,117,1.36,159.12,159.9,147
288,119,15,45,2.72,122.4,53.34,99
289,120,8,243,2.77,673.11,283.04,409
290,120,8,184,3.18,585.12,252.2,290
291,121,19,86,3.65,313.9,119.27,147
292,121,19,91,2.58,234.78,107.81,191
293,121,20,80,1.86,148.8,96.23,118
294,122,11,20,1.86,37.2,28.0,23
295,122,10,177,1.75,309.75,189.52,163
296,123,6,37,3.08,113.96,45.2,37
297,123,4,241,2.76,665.16,311.64,165
298,123,5,94,3.45,324.3,50.83,172
299,124,13,177,4.26,754.02,288.47,241
300,124,13,203,4.37,887.11,172.48,332
301,125,26,116,4.06,470.96,74.95,240
302,126,27,12,1.9,22.8,14.93,25
303,126,26,82,2.48,203.36,106.42,118
304,126,26,227,2.67,606.09,177.51,430
305,127,14,57,0.85,48.45,49.7,61
306,127,14,203,1.51,306.53,254.83,329
307,127,14,221,2.38,525.98,189.86,274
308,128,14,249,1.72,428.28,190.51,243
309,128,15,78,4.33,337.74,64.17,137
310,128,15,76,3.22,244.72,104.11,53
311,128,13,129,1.94,250.26,124.82,181
312,129,15,244,4.28,1044.32,223.15,233
313,130,23,189,2.83,534.87,200.18,276
314,130,23,221,1.61,355.81,164.97,399
315,130,23,144,2.45,352.8,199.48,104
316,131,11,147,1.35,198.45,126.33,211
317,131,12,184,1.56,287.04,223.82,137
318,132,4,141,2.34,329.94,167.72,211
319,132,4,216,1.94,419.04,92.98,218
320,132,5,200,1.61,322.0,100.45,256
321,132,6,26,2.8,72.8,12.59,53
322,133,6,206,3.17,653.02,292.73,441
323,133,6,238,2.22,528.36,384.96,488
324,134,14,230,2.09,480.7,149.47,336
325,134,13,42,3.49,146.58,29.89,25
326,135,11,107,3.85,411.95,79.88,123
327,135,10,58,4.27,247.66,82.07,45
328,135,11,117,3.08,360.36,200.16,237
329,135,12,62,1.05,65.1,76.35,81
330,136,18,21,2.29,48.09,15.29,20
331,136,16,45,2.66,119.7,36.22,86
332,137,29,87,4.04,351.48,154.86,125
333,137,30,86,1.82,156.52,101.43,133
334,137,28,243,1.45,352.35,328.11,362
335,138,5,91,3.38,307.58,88.41,98
336,138,5,203,2.79,566.37,149.68,195
337,138,5,46,3.78,173.88,77.31,69
338,138,4,152,2.76,419.52,143.46,153
339,139,22,33,2.78,91.74,51.52,23
340,139,24,182,3.04,553.28,82.88,130
341,139,24,160,3.48,556.8,189.18,219
342,139,23,87,4.34,377.58,36.67,183
343,140,1,188,3.04,571.52,129.03,388
344,140,1,92,3.67,337.64,85.83,134
345,140,2,88,1.77,155.76,98.38,123
346,140,3,215,4.43,952.45,227.32,418
347,141,7,231,1.62,374.22,139.59,235
348,142,18,60,2.02,121.2,55.91,116
349,142,16,150,3.22,483.0,203.82,152
350,142,17,195,3.17,618.15,211.93,169
351,143,1,244,4.09,997.96,435.89,520
352,143,1,18,3.9,70.2,9.07,34
353,143,3,205,0.82,168.1,121.46,330
354,143,2,191,1.36,259.76,134.89,254
355,144,19,134,0.86,115.24,153.44,169
356,144,19,145,3.47,503.15,166.75,154
357,144,21,218,3.38,736.84,218.61,459
358,144,20,37,4.2,155.4,41.96,36
359,145,13,213,2.27,483.51,196.44,266
360,145,13,72,4.46,321.12,51.57,122
361,145,14,177,4.47,791.19,231.84,115
362,146,25,173,0.83,143.59,110.71,242
363,146,27,175,3.7,647.5,208.63,345
364,146,25,239,2.75,657.25,109.84,224
365,146,27,237,2.9,687.3,184.75,493
366,147,8,247,3.95,975.65,104.21,230
367,148,12,86,1.4,120.4,63.35,166
368,148,12,183,4.12,753.96,158.19,331
369,148,12,212,4.46,945.52,299.73,297
370,148,12,23,1.16,26.68,16.68,17
371,149,2,17,3.15,53.55,25.45,22
372,149,1,101,2.85,287.85,93.49,91
373,149,2,179,2.21,395.59,265.11,192
374,149,2,192,1.07,205.44,148.83,232
375,150,27,37,1.14,42.18,63.65,49
376,150,25,79,1.18,93.22,41.26,102
377,150,27,152,2.7,410.4,82.78,113
378,151,3,13,1.88,24.44,12.26,10
379,151,1,241,4.47,1077.27,178.3,346
380,151,2,107,1.43,153.01,83.08,110
381,152,6,86,2.59,222.74,43.66,86
382,152,6,194,3.11,603.34,238.88,177
383,152,6,44,1.93,84.92,76.05,50
384,153,18,95,2.39,227.05,147.53,156
385,153,18,44,1.91,84.04,54.76,75
386,153,17,90,1.46,131.4,86.18,100
387,154,30,106,1.84,195.04,159.02,126
388,154,28,61,2.99,182.39,71.0,103
389,155,7,63,2.42,152.46,50.9,108
390,155,9,182,2.65,482.3,234.17,180
391,155,9,49,3.45,169.05,73.73,35
392,155,9,132,2.95,389.4,151.55,274
393,156,18,239,3.81,910.59,294.29,493
394,156,17,206,1.72,354.32,274.1,178
395,156,16,21,2.88,60.48,27.36,34
396,157,22,12,1.16,13.92,8.53,22
397,157,24,158,3.34,527.72,112.09,189
398,157,23,207,3.31,685.17,282.89,174
399,157,23,133,1.19,158.27,130.65,284
400,158,12,89,2.07,184.23,133.32,128
401,158,10,131,1.16,151.96,184.81,173
402,159,29,227,2.07,469.89,125.56,427
403,160,5,153,2.38,364.14,160.17,287
404,160,4,57,1.49,84.93,75.25,70
